,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,ticker,lastDateFormatted,firstDateFormatted
9,2022-04-30,2022-05-18,0.87,0.86,0.01,1.1628,post-market,CSCO,20220517T2359,20220507T0001
0,2024-08-31,2024-09-09,1.39,1.32,0.07,5.303,post-market,ORCL,20240908T2359,20240829T0001
1,2024-05-31,2024-06-11,1.63,1.65,-0.02,-1.2121,post-market,ORCL,20240610T2359,20240531T0001
2,2024-02-29,2024-03-11,1.41,1.38,0.03,2.1739,post-market,ORCL,20240310T2359,20240229T0001
3,2023-11-30,2023-12-11,1.34,1.32,0.02,1.5152,post-market,ORCL,20231210T2359,20231130T0001
4,2023-08-31,2023-09-11,1.19,1.15,0.04,3.4783,post-market,ORCL,20230910T2359,20230831T0001
5,2023-05-31,2023-06-12,1.67,1.58,0.09,5.6962,post-market,ORCL,20230611T2359,20230601T0001
6,2023-02-28,2023-03-09,1.22,1.2,0.02,1.6667,post-market,ORCL,20230308T2359,20230226T0001
7,2022-11-30,2022-12-12,1.21,1.18,0.03,2.5424,post-market,ORCL,20221211T2359,20221201T0001
8,2022-08-31,2022-09-12,1.03,1.07,-0.04,-3.7383,post-market,ORCL,20220911T2359,20220901T0001
9,2022-05-31,2022-06-13,1.54,1.37,0.17,12.4088,post-market,ORCL,20220612T2359,20220602T0001
0,2024-06-30,2024-08-07,1.22,1.15,0.07,6.087,pre-market,SONY,20240806T2359,20240727T0001
1,2024-03-31,2024-05-14,1.04,0.79,0.25,31.6456,pre-market,SONY,20240513T2359,20240503T0001
2,2023-12-31,2024-02-14,2,1.66,0.34,20.4819,pre-market,SONY,20240213T2359,20240203T0001
3,2023-09-30,2023-11-09,1.12,1.17,-0.05,-4.2735,pre-market,SONY,20231108T2359,20231029T0001
4,2023-06-30,2023-08-09,175.67,1.02,174.65,17122.549,pre-market,SONY,20230808T2359,20230729T0001
5,2023-03-31,2023-06-15,0.78,0.56,0.22,39.2857,post-market,SONY,20230614T2359,20230604T0001
6,2022-12-31,2023-02-02,1.87,1.47,0.4,27.2109,pre-market,SONY,20230201T2359,20230122T0001
7,2022-09-30,2022-11-01,1.54,1.06,0.48,45.283,pre-market,SONY,20221031T2359,20221021T0001
8,2022-06-30,2022-07-29,1.36,1.29,0.07,5.4264,pre-market,SONY,20220728T2359,20220718T0001
9,2022-03-31,2022-05-10,0.77,0.86,-0.09,-10.4651,pre-market,SONY,20220509T2359,20220429T0001
0,2024-06-30,2024-08-07,0.26,0.2,0.06,30,pre-market,SHOP,20240806T2359,20240727T0001
1,2024-03-31,2024-05-08,0.2,0.17,0.03,17.6471,pre-market,SHOP,20240507T2359,20240427T0001
2,2023-12-31,2024-02-13,0.34,0.31,0.03,9.6774,pre-market,SHOP,20240212T2359,20240202T0001
3,2023-09-30,2023-11-02,0.24,0.14,0.1,71.4286,pre-market,SHOP,20231101T2359,20231022T0001
4,2023-06-30,2023-08-02,0.14,0.05,0.09,180,post-market,SHOP,20230801T2359,20230722T0001
5,2023-03-31,2023-05-04,0.01,-0.04,0.05,125,pre-market,SHOP,20230503T2359,20230423T0001
6,2022-12-31,2023-02-15,0.07,-0.01,0.08,800,post-market,SHOP,20230214T2359,20230204T0001
7,2022-09-30,2022-10-27,-0.02,-0.07,0.05,71.4286,pre-market,SHOP,20221026T2359,20221016T0001
8,2022-06-30,2022-07-27,-0.03,0.02,-0.05,-250,pre-market,SHOP,20220726T2359,20220716T0001
9,2022-03-31,2022-05-05,0.02,0.06,-0.04,-66.6667,pre-market,SHOP,20220504T2359,20220424T0001
0,2024-06-30,2024-08-05,0.09,0.08,0.01,12.5,post-market,PLTR,20240804T2359,20240725T0001
1,2024-03-31,2024-05-06,0.08,0.08,0,0,post-market,PLTR,20240505T2359,20240425T0001
2,2023-12-31,2024-02-05,0.08,0.08,0,0,post-market,PLTR,20240204T2359,20240125T0001
3,2023-09-30,2023-11-02,0.07,0.06,0.01,16.6667,pre-market,PLTR,20231101T2359,20231022T0001
4,2023-06-30,2023-08-07,0.05,0.05,0,0,post-market,PLTR,20230806T2359,20230727T0001
5,2023-03-31,2023-05-08,0.05,0.04,0.01,25,post-market,PLTR,20230507T2359,20230427T0001
